"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-01",,"62","27"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-02",,"59","36"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-03",,"56","43"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-04",,"63","40"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-05",,"65","37"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-06",,"62","41"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-07",,"70","48"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-08",,"71","45"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-09",,"71","56"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-10",,"74","58"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-11",,"58","33"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-12",,"52","26"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-13",,"59","24"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-14",,"49","35"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-15",,"42","23"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-16",,"53","18"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-17",,"56","41"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-18",,"42","25"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-19",,"46","23"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-20",,"48","24"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-21",,"56","21"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-22",,"49","42"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-23",,"54","44"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-24",,"48","39"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-25",,"41","32"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-26",,"39","20"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-27",,"41","14"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-28",,"50","26"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-29",,"47","21"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-30",,"52","24"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-01-31",,"36","20"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-01",,"38","15"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-02",,"50","19"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-03",,"62","24"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-04",,"56","38"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-05",,"45","30"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-06",,"64","24"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-07",,"55","34"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-08",,"61","25"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-09",,"71","39"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-10",,"68","43"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-11",,"66","41"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-12",,"64","30"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-13",,"61","34"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-14",,"62","28"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-15",,"61","46"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-16",,"68","41"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-17",,"69","34"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-18",,"69","43"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-19",,"79","53"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-20",,"79","61"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-21",,"69","54"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-22",,"60","34"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-23",,"42","27"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-24",,"53","23"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-25",,"63","32"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-26",,"64","58"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-27",,"66","49"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-02-28",,"68","45"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-01",,"77","38"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-02",,"77","43"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-03",,"63","49"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-04",,"75","47"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-05",,"79","49"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-06",,"83","53"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-07",,"84","55"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-08",,"72","60"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-09",,"78","56"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-10",,"81","58"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-11",,"83","59"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-12",,"70","37"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-13",,"69","33"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-14",,"78","38"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-15",,"76","48"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-16",,"69","34"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-17",,"48","28"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-18",,"56","27"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-19",,"68","30"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-20",,"77","36"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-21",,"83","49"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-22",,"84","55"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-23",,"81","52"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-24",,"69","51"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-25",,"70","50"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-26",,"81","47"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-27",,"83","55"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-28",,"70","48"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-29",,"66","44"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-30",,"74","56"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-03-31",,"83","56"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-01",,"84","56"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-02",,"83","56"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-03",,"83","55"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-04",,"84","61"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-05",,"71","55"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-06",,"65","46"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-07",,"76","40"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-08",,"69","43"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-09",,"71","43"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-10",,"76","40"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-11",,"84","44"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-12",,"84","48"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-13",,"82","50"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-14",,"84","50"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-15",,"85","51"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-16",,"84","54"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-17",,"88","56"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-18",,"82","57"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-19",,"69","41"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-20",,"76","36"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-21",,"78","42"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-22",,"82","48"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-23",,"82","48"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-24",,"84","51"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-25",,"75","58"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-26",,"81","61"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-27",,"76","59"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-28",,"64","57"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-29",,"82","60"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-04-30",,"73","53"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-01",,"65","54"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-02",,"70","45"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-03",,"71","40"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-04",,"78","40"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-05",,"80","46"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-06",,"81","57"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-07",,"74","58"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-08",,"71","52"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-09",,"70","55"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-10",,"82","57"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-11",,"81","57"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-12",,"73","60"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-13",,"81","58"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-14",,"75","50"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-15",,"77","43"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-16",,"84","50"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-17",,"89","60"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-18",,"87","61"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-19",,"87","58"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-20",,"88","62"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-21",,"87","67"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-22",,"84","66"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-23",,"85","69"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-24",,"83","70"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-25",,"79","68"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-26",,"81","69"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-27",,"84","69"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-28",,"84","68"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-29",,"84","69"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-30",,"83","68"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-05-31",,"75","66"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-06-01",,"84","65"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-06-02",,"85","61"
"USW00053819","PEACHTREE CITY FALCON FIELD, GA US","2026-06-03",,"79","55"
